Formula,band_alignment,Mismatch,prototype,Eb,do,Eg,IE,EA,wf,CBM,VBM,Eg_type
Ag2I2-BaCl2,Type 1,0.912127588,MoS2-GaSe,49.38053757,3.94087,2.0553,5.7461,3.6908,5.5261,-3.691,-5.746,D
CaI2-Cd2S2,Type 1,1.61316721,MoS2-GaSe,39.37122956,3.86414,1.7968,6.0715,4.2747,5.8263,-4.275,-6.064,ID
Br2Sr-Cd2S2,Type 1,1.685145988,MoS2-GaSe,37.01235395,3.7014,1.7815,6.0842,4.3027,5.852,-4.302,-6.084,D
Ag2Cl2-Br2Sr,Type 1,0.260482635,MoS2-GaSe,50.95355962,3.37605,1.6761,5.8764,4.2003,5.6501,-4.201,-5.878,D
Cd2S2-Cl2Sr,Type 1,2.134358545,MoS2-GaSe,34.02997211,3.54677,1.8844,6.1102,4.2258,5.8926,-4.226,-6.111,D
CaI2-Cd2I2,Type 2,0.346321088,MoS2-GaSe,41.65697175,4.25236,2.0042,5.7977,3.7935,5.5816,-3.793,-5.802,ID
Ag2Cl2-CaI2,Type 2,0.33246615,MoS2-GaSe,53.58382849,3.52624,1.6843,5.8405,4.1562,5.6224,-4.157,-5.84,D
Br2Pb-Cd2S2,Type 2,0.17671917,MoS2-GaSe,31.91950644,3.60047,1.7708,6.1181,4.3473,5.9011,-4.347,-6.119,D
Ag2I2-I2Sn,Type 2,3.45663375,MoS2-GaSe,52.91550549,4.15293,1.8009,5.681,3.8801,5.4762,-3.881,-5.68,ID
Br2Sr-Cd2I2,Type 2,0.274337589,MoS2-GaSe,38.95861985,4.0621,1.9829,5.8116,3.8287,5.5859,-3.828,-5.823,ID
Ag2Br2-I2Pb,Type 2,1.531221037,MoS2-GaSe,50.62302579,3.89312,1.6972,6.0878,4.3906,5.8816,-4.391,-6.089,D
Cl2Mg-Cl2Pt2,Type 1,1.138455432,GaSe-CdI2,68.46035313,3.55952,1.5139,5.9663,4.4524,5.755,-4.439,-5.966,ID
Br2Zn-S2Zn2,Type 1,3.225348608,GaSe-CdI2,68.69360939,3.78436,2.3808,6.2672,3.8864,6.0559,-3.885,-6.268,D
I2Mg-Se2Zn2,Type 1,3.188685592,GaSe-CdI2,59.41071683,4.01373,1.5828,5.9625,4.3797,5.7492,-4.379,-5.962,D
Cd2S2-HgI2,Type 1,1.645753597,GaSe-CdI2,17.83391565,3.58467,1.6453,6.0142,4.3689,5.8004,-4.37,-6.015,ID
Cd2Se2-CdI2,Type 1,2.922897638,GaSe-CdI2,43.2913723,3.96128,1.5471,5.9428,4.3957,5.7298,-4.396,-5.943,D
Cd2Se2-GeI2,Type 1,3.477860291,GaSe-CdI2,48.1804712,4.04278,1.6278,5.936,4.3082,5.7205,-4.307,-5.935,D
Cl2Pt2-Cl2Zn,Type 2,0.898250992,GaSe-CdI2,75.14416085,3.54253,1.6081,6.0332,4.4251,5.8282,-4.407,-6.032,ID
CdCl2-S2Zn2,Type 2,0.58852345,GaSe-CdI2,52.39067675,3.63735,2.123,6.3068,4.1838,6.0969,-4.184,-6.307,D
Br2Cd-S2Zn2,Type 2,3.493155351,GaSe-CdI2,53.92960689,3.69706,2.3251,6.3591,4.034,6.1443,-4.034,-6.359,D
Br2Cd2-I2Zn,Type 2,0.105656728,GaSe-CdI2,52.5821474,4.02542,1.8365,6.1892,4.3527,5.9679,-4.352,-6.181,ID
Cd2I2-GeI2,Type 2,2.309013547,GaSe-CdI2,49.01876439,4.24266,1.7856,5.8252,4.0396,5.5984,-4.039,-5.82,ID
Cd2S2-I2Mg,Type 2,2.537377419,GaSe-CdI2,39.03431875,3.98241,1.8787,6.1397,4.261,5.9252,-4.261,-6.14,D
