uid,formula,lattice_param,prototype,spacegroup,gap,workfunction
Cd2Se2-6e69c77cf8fc,Cd2Se2,4.4526468,GaSe,P-3m1,1.402387609,5.140997014
Te2Ti2-ecf4b958e9a1,Te2Ti2,3.57927662,GaSe,P-3m1,0.109751873,4.597777817
Cl2Sb2-a6ccabb6ac8a,Cl2Sb2,5.22345119,GaSe,P-3m1,0.436100219,5.061956221
Se2Zr2-a1b04a4b1428,Se2Zr2,4.32549355,GaSe,P-3m1,0.019692963,3.777160707
Te2Zn2-4e0f8a77aaf0,Te2Zn2,4.32934714,GaSe,P-3m1,0.544585799,4.516010943
Br2Pt2-046bb8e1f5ad,Br2Pt2,3.75616173,GaSe,P-3m1,1.176623267,4.706378811
Cd2Te2-3a9e0525e324,Cd2Te2,4.66875138,GaSe,P-3m1,0.632554623,4.778264226
Ga2S2-6f3b2e422ac9,Ga2S2,3.65591037,GaSe,P-3m1,2.179815807,5.142043432
Hg2I2-f7e70d2b90ad,Hg2I2,4.45554668,GaSe,P-3m1,1.276905866,5.272889961
Ag2I2-0c52f79478e2,Ag2I2,4.5749958,GaSe,P-3m1,1.768472401,4.530712395
Pb2Te2-8541bd4f0edd,Pb2Te2,5.52451418,GaSe,P-3m1,0.434071579,4.11605461
Te2Tl2-44ffc9d405b8,Te2Tl2,4.51975654,GaSe,P-3m1,0.294462403,5.046769504
Hf2S2-e7d34362869c,Hf2S2,4.14798284,GaSe,P-3m1,0.133545068,3.355216494
GeSe-211bcb7f05d6,GeSe,3.66621594,GeSe,P3m1,2.217511205,4.651636189
OPb-2a393480e273,OPb,3.59291388,GeSe,P3m1,1.801356114,4.968722891
HgSe-619ed885f677,HgSe,4.46383998,GeSe,P3m1,0.117087272,5.426534457
OSn-026ebfd86b48,OSn,3.34261851,GeSe,P3m1,1.705504455,5.074626714
PbTe-3bc08d486d65,PbTe,4.32389689,GeSe,P3m1,0.929851621,4.170592081
SnTe-e688959ea45b,SnTe,4.17277641,GeSe,P3m1,1.582301202,4.175535846
GeTe-eadd37f03ca5,GeTe,3.94345386,GeSe,P3m1,1.473578449,4.217080447
HgTe-1a3bdd1b142a,HgTe,4.7315562,GeSe,P3m1,0.153168519,5.029942884
SSn-f98da23471a1,SSn,3.75204148,GeSe,P3m1,2.288629031,4.936964627
PbS-5e4ff1f56b4a,PbS,3.94911332,GeSe,P3m1,1.820042574,4.831229204
GeO-a42f736f1682,GeO,3.01086546,GeSe,P3m1,2.13328041,5.491773333
PbSe-a0dbdc6630fa,PbSe,4.0777825,GeSe,P3m1,1.532436425,4.618906674
SeSn-d59c96fdfda1,SeSn,3.90680953,GeSe,P3m1,2.176639795,4.653390913
GeS-227b12019ade,GeS,3.48834078,GeSe,P3m1,2.449635147,4.94112128
