Eb,do,Eg,IE,EA,wf,CBM,VBM,Eg_type
58.74853539,3.70216,1.6949,6.316,4.6211,6.1109,-4.623,-6.317,D
99.7046069,3.60731,1.4698,5.3921,3.9223,5.1812,-3.922,-5.395,ID
77.91845348,3.55812,1.8374,5.9061,4.0687,5.6911,-4.069,-5.906,D
234.3960131,3.52144,0.1158,3.5145,3.3987,3.5439,-3.387,-3.7,ID
69.5638177,4.15778,1.0833,5.0711,3.9878,4.868,-3.989,-5.083,ID
-9.431829685,3.92146,0.039,5.1903,5.1513,5.1598,-5.15,-5.189,ID
78.69078618,3.76403,1.0015,5.3299,4.3284,5.1149,-4.327,-5.332,ID
31.59754007,4.11536,1.2875,5.332,4.0445,5.116,-4.044,-5.332,ID
94.61354155,3.51919,1.4876,5.8996,4.412,5.6951,-4.412,-5.9,D
47.84644975,3.79546,0.8662,5.5763,4.7101,5.3683,-4.712,-5.576,D
95.34502181,3.70078,1.419,5.8681,4.4491,5.6551,-4.437,-5.868,ID
83.98627742,3.70988,1.9683,5.591,3.6227,5.3838,-3.623,-5.601,ID
69.82940517,3.97729,0.9356,5.2228,4.2872,5.0079,-4.287,-5.225,ID
51.93171702,3.97638,0.7276,5.1811,4.4535,4.9627,-4.453,-5.18,ID
45.12055258,3.29005,0.4488,6.3218,5.873,6.0968,-5.876,-6.321,ID
52.60562704,3.92709,1.2454,5.808,4.5626,5.5957,-4.563,-5.811,ID
54.67356607,3.94135,1.0126,5.3053,4.2927,5.0839,-4.293,-5.308,ID
63.01727007,3.73976,1.1241,5.6748,4.5507,5.4574,-4.552,-5.68,ID
102.4242946,3.8993,1.1609,5.3428,4.1819,5.1313,-4.173,-5.342,ID
67.94876052,4.1787,1.6874,5.0933,3.4059,4.8801,-3.406,-5.1,ID
-8.075385816,4.02279,0.4881,5.6809,5.1928,5.4602,-5.193,-5.68,ID
55.69537691,3.97562,1.4553,5.9261,4.4708,5.7108,-4.471,-5.928,ID
55.20977906,4.11361,1.5897,5.6808,4.0911,5.4733,-4.09,-5.681,D
47.69451352,3.88798,0.8547,5.6329,4.7782,5.4335,-4.777,-5.653,ID
-20.04280331,4.18312,0.8434,5.4944,4.651,5.2935,-4.65,-5.511,ID
54.22917836,3.36292,1.3595,6.0499,4.6904,5.8313,-4.69,-6.053,ID
45.24499151,2.98828,0.3617,5.7725,5.4108,5.5908,-5.411,-5.773,D
19.62440378,3.9355,0.0598,4.7641,4.7043,4.7307,-4.704,-4.764,D
44.42662104,3.24974,1.2839,5.9972,4.7133,5.7772,-4.712,-6.0,ID
-16.53549092,3.94292,1.1855,5.9026,4.7171,5.6856,-4.717,-5.901,ID
61.36451308,2.8253,0.577,5.8235,5.2465,5.6146,-5.246,-5.825,D
68.48781821,3.15817,1.4148,5.923,4.5082,5.7165,-4.508,-5.922,D
99.30972308,3.66167,1.1553,5.4439,4.2886,5.2598,-4.289,-5.473,ID
45.92610353,3.96799,-0.0165,6.244,6.2605,6.1995,-6.26,-6.254,M
2595.948288,2.42152,-0.4431,5.2956,5.7387,5.2703,-5.639,-5.059,M
23.4839673,3.30259,-0.0885,6.456,6.5445,6.4206,-6.544,-6.464,M
324.930179,3.89589,-0.0738,3.7167,3.7905,3.7566,-3.79,-3.795,M
317.4201911,3.80953,0.0108,4.0018,3.991,47.12152861,-3.999,-4.092,ID
345.0463209,3.74987,-0.2056,3.567,3.7726,3.6323,-3.774,-3.663,M
186.0538423,3.64008,-0.3545,4.1667,4.5212,4.2506,-4.517,-4.279,M
215.0347671,3.80549,0.0185,4.3277,4.3092,4.3273,-4.31,-4.376,ID
368.7674165,3.05686,0.0017,4.6438,4.6421,4.5833,-4.753,-4.629,M
-173.5794006,2.65994,-1.6707,6.0675,7.7382,7.5901,-7.692,-6.068,M
-73.00006705,2.72935,0.0122,5.3651,5.3529,5.4452,-5.556,-5.364,ID
206.0512932,3.60287,-0.1846,6.3328,6.5174,6.4406,-6.449,-6.451,M
390.2743099,3.27536,-0.1382,5.2193,5.3575,5.2733,-5.335,-5.221,M
182.9501874,3.97704,0.0394,3.817,3.7776,3.8218,-3.779,-3.891,ID
-25.82858748,3.54677,-1.8464,4.0873,5.9337,4.8523,-5.935,-4.105,M
149.8464709,2.91698,-0.2361,4.7789,5.015,4.9094,-5.012,-4.91,M
205.5617506,3.11208,-0.219,3.377,3.596,3.4584,-3.581,-3.469,M
345.7810254,2.95536,-0.0631,3.7504,3.8135,3.8123,-3.816,-3.829,M
9777.801674,3.07415,-0.4532,53.9518,54.405,61.8453,-62.01,-61.816,M
136.3992797,3.2069,-0.2816,4.9166,5.1982,5.0055,-5.199,-4.945,M
202.7712016,3.2402,-0.248,4.2428,4.4908,4.3361,-4.489,-4.352,M
31.50491044,3.6508,-0.0113,5.8259,5.8372,5.7897,-5.838,-5.825,M
453024.1578,2.62453,-0.7382,306.1112,306.8494,290.3068,-290.984,-289.912,M
327.7108727,3.54035,-0.1829,5.1911,5.374,5.3991,-5.374,-5.191,M
185.9255381,3.23055,-0.2524,4.7946,5.047,4.9185,-5.066,-4.911,M
308.9747698,2.72032,0.0843,4.6427,4.5584,4.6454,-4.734,-4.553,ID
1.42922277,3.77614,1.0239,7.1254,6.1015,6.9201,-6.119,-7.149,ID
23.86641125,3.72308,0.8785,5.6565,4.778,5.4455,-4.798,-5.675,ID
10.815825,3.81334,0.4597,6.3892,5.9295,6.1891,-5.929,-6.413,ID
-21.06483846,3.99066,0.2415,5.5834,5.3419,5.461,-5.342,-5.583,D
265.7654399,3.00398,1.9583,5.3208,3.3625,5.1021,-3.364,-5.323,ID
97.78415734,3.41661,0.878,5.1658,4.2878,4.9336,-4.288,-5.166,D
43.46155796,2.61356,0.4191,5.3751,4.956,5.1644,-4.956,-5.379,ID
2.342934919,2.9991,0.5734,5.9987,5.4253,5.7871,-5.416,-5.997,ID
224.8413268,1.98589,0.3866,6.6531,6.2665,6.461,-6.264,-6.658,D
64.87826163,3.70829,1.9906,6.0775,4.0869,5.8606,-4.041,-6.081,ID
76.82865501,3.98094,1.2385,5.6054,4.3669,5.3969,-4.364,-5.61,ID
44.21600996,4.03104,1.402,5.2603,3.8583,5.0301,-3.8,-5.262,ID
36.52416599,4.03225,1.1135,5.8029,4.6894,5.5822,-4.688,-5.806,ID
228.7721228,3.19207,1.101,6.6651,5.5641,6.4497,-5.565,-6.679,ID
27.66065555,4.00105,0.3509,5.8033,5.4524,5.6239,-5.452,-5.808,ID
75.97674647,3.98154,1.1915,5.5905,4.399,5.3685,-4.393,-5.589,ID
23.87141809,4.0553,1.6764,5.4783,3.8019,5.2524,-3.746,-5.481,ID
23.32775935,4.02085,1.1727,5.348,4.1753,5.1343,-4.175,-5.349,ID
76.17823805,3.66646,1.3272,5.6134,4.2862,5.4035,-4.294,-5.615,ID
65.88003115,3.69224,2.1364,6.135,3.9986,5.9254,-3.997,-6.145,ID
37.17430715,3.98361,1.905,6.4084,4.5034,6.1925,-4.505,-6.41,ID
21.00874955,4.13251,0.4485,5.2518,4.8033,5.0442,-4.804,-5.263,ID
-137.8999053,5.50654,0.2863,5.8223,5.536,5.6874,-5.536,-5.852,ID
71.97997893,4.00538,2.0568,6.1494,4.0926,5.9338,-4.041,-6.157,ID
77.25246661,3.74042,1.5055,6.0865,4.581,5.8674,-4.573,-6.086,ID
-25.45677398,3.62024,0.6938,6.371,5.6772,6.1614,-5.678,-6.383,ID
74.71657503,4.00245,1.9408,5.7908,3.85,5.57,-3.822,-5.79,ID
