,Unlabeled_ILD
0,3.8418688960551264
1,3.674234292553551
2,3.9189238268200173
3,3.9693923975562315
4,3.6526589597018737
5,3.9818595501772354
6,3.957053740236832
7,3.845082852359615
8,3.862163032978732
9,3.8192774550135744
10,3.796955261051894
11,3.732566189671664
12,3.766718828418076
13,3.843611273790847
14,3.8754086999913078
15,3.812784907372896
16,3.774330865832492
17,3.8114866024446528
18,3.7442433304344815
19,3.818477955088559
20,3.7867448385864657
21,3.5533490446260685
22,3.8641456011109563
23,3.569950808437676
24,3.905950144891091
25,3.9316813054352915
26,3.71691601382516
27,4.025843909387188
28,3.5691221799646504
29,3.7706431252730344
30,3.9608077544755425
31,3.9945247637774406
32,3.795490022886394
33,3.8691072744131993
34,3.882412915795194
35,3.7942100374410415
36,3.812955343812867
37,3.8625844553479958
38,3.801710381989139
39,3.839220146972367
40,3.7766828203614278
41,4.049198901833063
42,4.042116573083292
43,4.09188434282955
44,4.063390513816273
45,3.5928255359186383
46,3.6273489307959954
47,3.9994693805195416
48,4.040694876571083
49,3.5885479612055735
50,3.752084327130543
51,3.6232501964225423
52,3.786075268873733
53,3.6193405996267547
54,4.012941145085618
55,4.182176158786563
56,4.016145197599826
57,4.081202731331362
58,3.6932823283790954
59,3.96581389752426
60,3.879723658753285
61,3.9012385320297165
62,3.55501829115817
63,3.62398092072565
64,3.70870766923968
65,3.240278458721977
66,3.1964396798233103
67,3.6844451519485544
68,3.7993970458984805
69,3.5841845428048433
70,4.007211410421382
71,3.857038397749567
72,3.806135479647857
73,3.549844516706601
74,3.8056430788290347
75,4.057615440119056
76,4.034690874829976
77,3.796404335147823
78,3.670913328047929
79,3.0591344028175484
80,3.0037636893907798
81,3.6652876924159297
82,3.637412317496261
83,3.6515438165447107
84,4.046504132880609
85,3.1737947456233297
86,3.3524520627959915
87,3.3055970220289757
88,3.3156341606880244
89,3.296833299194466
90,3.289279638163464
91,3.1247956179240326
92,3.398536369643154
93,3.4569181647440796
94,3.4453196525194096
95,3.4244402262879743
96,3.679297425695583
97,3.3100276869176737
98,2.991302048831226
99,3.3994444356089284
100,3.3820870050571528
101,3.55107486478157
102,3.674328636640353
103,3.580150353080098
104,3.573321039095233
105,3.696423549404856
106,3.789517317907604
107,3.6810672712231334
108,3.4067592666505377
109,3.0447818115519563
110,3.4657995512275077
111,4.10390632149113
112,3.723226418903223
113,4.10522112438092
114,3.7522222742278353
115,3.802766124872119
116,3.538557136542818
117,3.8246225151822193
118,3.8988207756743485
119,3.6715732004528445
120,3.7343080308943666
121,3.7258934207942533
122,3.724937210472993
123,3.7704429731486355
124,3.7193293612451
125,3.9382218342177193
126,3.929388153700107
127,3.6801512336074595
128,3.7247585872554967
129,3.570371906746838
130,3.8374261091301367
131,3.907784618885736
132,3.525400808334349
133,3.8555205433243533
134,3.7402019344143924
135,3.730350000597856
136,3.6637005902074877
137,3.296149225789481
138,3.0824400982881874
139,3.491748569191643
140,3.527842804998598
141,3.4825792319688036
142,3.576510016187902
143,3.1207009117648483
144,3.2814953713440915
145,3.6794653024493864
