,Unlabeled_Ecbm
767,-4.574907295112446
768,-4.278884043577764
769,-3.913274917999007
770,-4.326276904846262
771,-4.375435044269002
772,-5.303832173627376
773,-5.260997865626823
774,-4.064603413212471
775,-6.222433848340605
776,-4.463458774557458
777,-4.343382359735472
778,-5.829309375429838
779,-4.493544983224917
780,-4.757963722509033
781,-5.137270120107375
782,-4.8106354961672775
783,-5.1965382750832525
784,-5.629629082247969
785,-4.647391704514081
786,-5.300695126701641
787,-5.630544045769834
788,-4.569820974024851
789,-5.203513213536068
790,-5.364433682285365
791,-4.417573692197532
792,-6.417303951718547
793,-4.488956844306061
794,-5.009251216914992
795,-5.428371510756092
796,-5.590343164358151
797,-6.289533434507724
798,-5.7994906871983485
799,-5.374963918405852
800,-6.499381415212868
801,-5.236330113389285
802,-6.372415565983543
803,-5.7788321776436655
804,-6.550153771522791
805,-5.672171725230636
806,-5.728761039851332
807,-4.174734928416959
808,-4.972607077964216
809,-5.3870672425214625
810,-5.104960238351395
811,-6.215244711956902
812,-5.543707823517144
813,-5.305342055018377
814,-5.633658842239785
815,-5.483732947664701
816,-4.372379219811257
817,-4.3046096324374
818,-4.580056040776338
819,-4.374633066903426
820,-5.159883553658103
821,-5.929275079649681
822,-4.616383779624123
823,-5.317452831031764
824,-5.59350790111547
825,-5.352920676656234
826,-5.0256851970495315
827,-4.7657828997253535
828,-5.118910006577441
829,-4.638630681760664
830,-4.407515815268288
831,-4.677043392424033
832,-4.562717215963581
833,-5.787649084631439
834,-5.459148507155004
835,-5.71655130266641
836,-5.722502242772955
837,-5.669794540466225
838,-6.498907382391778
839,-4.885742638621878
840,-5.604561544455759
841,-4.232124427166967
842,-4.661867145519658
843,-5.373367723272256
844,-5.717916672090049
845,-4.789030666131926
846,-4.7131687228458
847,-4.343508796087779
848,-4.833228189958138
849,-4.685574660400517
850,-4.733964797763217
851,-4.885730558689431
852,-4.792684613689346
853,-6.268663086971752
854,-5.569299367557324
855,-5.79259916073318
856,-6.224943611299734
857,-5.262511638316575
858,-5.448003708612048
859,-5.3065075141758555
860,-5.866023590030447
861,-5.934283205129604
862,-5.799790630748271
863,-5.0639480593867825
864,-4.602258312837201
865,-4.594011027611821
866,-4.586837841409771
867,-4.842416748088235
868,-6.288094981037358
869,-4.6977705682482975
870,-5.350150969201685
871,-5.837751426685817
872,-6.213773716572005
873,-5.661979297420606
874,-5.648636851463082
875,-5.7550276470943595
876,-5.941718992340125
877,-5.806641279479681
878,-5.907233820616855
879,-5.683597525462084
880,-5.631464470999981
881,-5.322612142103176
882,-5.336928761345442
883,-6.317032984710928
884,-5.332335013256061
885,-6.546417947612453
886,-5.998400901709995
887,-4.339160563208922
888,-6.080210082116631
889,-4.4874781674519335
890,-4.69695951586044
891,-4.963919635098202
892,-4.280494483995892
893,-4.977082731629964
894,-5.182108464917238
895,-5.80017259841184
896,-5.093163602374066
897,-5.114758659163665
898,-4.7444101571953405
899,-5.000720786910087
900,-5.917531744902637
901,-6.117623775773423
902,-4.122186388751593
903,-3.919110997363041
904,-4.1567426109395225
905,-5.2066891818940215
906,-4.182994021858654
907,-4.579404334663683
908,-5.768804435207243
909,-4.351222838944649
910,-4.082464361328093
911,-4.2149047692869
912,-4.336665692311106
913,-6.008813934074193
914,-4.593446610617514
915,-4.796312956655528
916,-4.234316838515433
917,-4.1798293129570645
918,-5.289748533799158
919,-5.179503038276179
920,-5.0436016670020445
921,-5.5237319721847244
922,-4.7189631537210515
923,-5.093293799142628
924,-5.116198621292922
925,-5.611956042332291
926,-6.371697879912099
927,-5.825274377156506
928,-5.1689969993145635
929,-5.313864011109834
930,-4.8127148866162415
931,-4.894967220930747
932,-5.36436933620528
933,-6.263833372049912
934,-4.5768476397747495
935,-6.373845575054516
936,-5.8703870646004175
937,-4.94660019764825
938,-5.844676186569061
939,-5.035125403151561
940,-4.682321434118976
941,-4.470109237872471
942,-4.507100464861421
943,-4.424753379830386
944,-5.0368518184230515
945,-4.50210926127927
946,-4.306541635991217
947,-6.0002689854684785
948,-4.574555004224343
949,-4.343125020555465
950,-4.109650173039165
951,-4.215878185043351
952,-4.266619856819924
953,-4.596161731082462
954,-4.16319303985572
955,-4.087850923082038
956,-4.5415499382967095
957,-4.574042848644925
958,-3.9884835609021136
959,-4.565205044964281
960,-4.6414364892562
961,-4.449200097517041
962,-4.590894539396424
963,-5.166027852265366
964,-5.2232300874936985
965,-5.209464557499158
966,-4.561613789122759
967,-4.948935761655851
968,-4.538576658246035
969,-5.126518848717626
970,-5.178421910058218
971,-5.161167889619307
972,-3.526576691186352
973,-4.278643012911542
974,-5.339863091425232
975,-4.8891540921065415
976,-4.667241748326429
977,-5.0472276899747
978,-5.400224650311706
979,-5.638139485166533
980,-6.110369593382768
981,-4.437259152634539
982,-4.900614549440809
983,-4.826397217452539
984,-5.243375380613185
985,-5.2969500322434
986,-5.170288993983595
987,-5.90853304248826
988,-4.837247855877097
989,-5.25304729083515
990,-5.512448866507061
991,-6.09180910753485
992,-3.9960620063300523
993,-5.525289323508431
994,-4.721663371254397
995,-5.134978789466999
996,-5.032801073300615
997,-5.20713570411549
998,-5.25248679222602
999,-5.568566625756227
1000,-4.013843084509987
1001,-4.425302603503699
1002,-4.791924257939954
1003,-4.719135563156663
1004,-4.950755247471916
1005,-4.287151292467857
1006,-4.8464639782928725
1007,-5.043945520622997
1008,-3.9234408017231113
1009,-3.576153182999011
1010,-4.103167694102203
1011,-4.048429698847333
1012,-5.34439814343859
1013,-5.252900593768401
1014,-6.08620726097302
1015,-4.602450322872186
1016,-5.26720089357155
1017,-5.345862177918761
1018,-5.332043013869966
1019,-4.609574999604228
1020,-4.64408819763253
1021,-5.090826448116003
1022,-4.579555922222723
1023,-6.21538912818156
1024,-4.008224106729687
1025,-4.142877138436031
1026,-5.421442632935836
1027,-5.007298623953578
1028,-5.366028864914788
1029,-5.549606102026625
1030,-6.265816359477467
1031,-6.14989910264953
1032,-4.250149828466019
1033,-4.27865083684704
1034,-5.384975982932216
1035,-4.966740111239026
1036,-5.481040035259726
1037,-5.271400191450398
1038,-5.506426520875407
1039,-3.838714420633308
1040,-5.129002706804799
1041,-5.23738371090522
1042,-4.7469038746826255
1043,-5.1921791916796
1044,-5.293634667816284
1045,-3.7435470380734657
1046,-5.058483695224622
1047,-4.251006750654684
1048,-5.2213823756776865
1049,-4.713251527488845
1050,-4.520407194281353
1051,-5.36050053686467
1052,-4.5592905226848774
1053,-4.932243696469439
1054,-4.506972776024883
1055,-3.987019311124433
1056,-5.088827504086093
1057,-3.732909893291927
1058,-3.5334630810267784
1059,-4.197371972012672
1060,-6.156837267531311
1061,-5.4437257926437415
1062,-5.600969897144809
1063,-5.788197473934233
1064,-6.738318379725711
1065,-5.004546815669921
1066,-5.426293342760116
1067,-5.578542374340733
1068,-5.528595625541039
1069,-5.318778179718151
1070,-5.594179187240184
1071,-3.778581136164145
1072,-5.210280264882699
1073,-5.26946409649975
1074,-4.809754667459029
1075,-5.437655532667061
1076,-5.33189198382779
1077,-5.438278783241692
1078,-5.127109646686337
1079,-4.636799898666383
1080,-4.47300067779099
1081,-5.320506518827955
1082,-4.515146481052577
1083,-4.267413056880063
1084,-4.9638233114135115
1085,-5.0768574655186685
1086,-5.420695766542766
1087,-6.109229321515113
1088,-5.8189359034048005
1089,-5.167275887637279
1090,-4.612369162956335
1091,-4.875623730676635
1092,-5.102598117825746
1093,-4.4862649673764885
1094,-4.111828222352989
1095,-5.142910422519674
1096,-3.8490977619501114
1097,-4.262951284184421
1098,-5.165554001246759
1099,-5.93420612513237
1100,-5.960369845491045
1101,-5.234393858515975
1102,-5.3361020774001195
1103,-4.30924915836679
1104,-5.528664181498543
1105,-5.424103341627375
1106,-6.330323343583615
1107,-5.205225878512214
1108,-5.183641286090086
1109,-5.1264877969685845
1110,-5.5300999723495385
1111,-3.848472200441382
1112,-5.148003009156446
1113,-4.352640418721443
1114,-5.3204106329692475
1115,-5.948250907059189
1116,-4.846884523834674
1117,-4.67191250553118
1118,-5.006048098821294
1119,-5.251877138475466
1120,-5.58578414385233
1121,-6.156610089504208
1122,-5.310513062937044
1123,-5.0291306986478155
1124,-4.892334947308414
1125,-5.129064191410225
1126,-4.750957657572767
1127,-4.7954942623250245
1128,-5.095373856754335
1129,-5.540410622693443
1130,-4.893344956706873
1131,-4.175621388681918
1132,-4.351706614886041
1133,-5.092909864202002
1134,-4.895464316035134
1135,-5.140328689069163
1136,-4.486550330854818
1137,-5.350887664151093
1138,-5.1147251667440745
1139,-4.361807362892747
1140,-4.6775889094191845
1141,-4.681721282955833
1142,-4.625246494829195
1143,-3.8286470522382965
1144,-4.026375516391512
1145,-5.249973365851662
1146,-5.787903356653086
1147,-4.880445230240522
1148,-5.133165514699857
1149,-4.96410836584826
1150,-5.202226248787536
1151,-5.493375247137863
1152,-4.892124082262312
1153,-5.543665026710698
1154,-4.066870413416209
1155,-4.649442845012662
1156,-5.651878572718312
1157,-4.491199014990585
1158,-4.0303314372080425
1159,-4.54544861618745
1160,-4.051786396211764
1161,-4.271558352803539
1162,-4.354168691413528
1163,-5.537866901891508
1164,-6.028853251615971
1165,-5.560673028373556
1166,-5.605760672193258
1167,-4.731323389492642
1168,-4.701838221435239
1169,-4.909757743394791
1170,-5.326670445152785
1171,-5.15853432788755
1172,-4.859206342581667
1173,-4.456607383419049
1174,-3.961891772324879
1175,-4.123355454957261
1176,-4.48694643590849
1177,-4.854359820263987
1178,-5.406329218233474
1179,-4.095963796139263
1180,-5.0138662716166795
1181,-5.510642624481959
1182,-4.786124662610016
1183,-5.663559003036981
1184,-3.741299907912988
1185,-4.113024264365663
1186,-4.834658701012374
1187,-4.779789293772675
1188,-4.6710635367585756
1189,-6.1270716014153255
1190,-4.865869930404211
1191,-4.535390812960472
1192,-4.948693297121408
1193,-5.479665140707318
1194,-5.254777508155396
1195,-4.7461367293402805
1196,-5.416541466445857
1197,-5.956032764597442
1198,-4.378136527101226
1199,-4.018774369238679
1200,-5.1568696161304315
1201,-5.6313985290064394
1202,-3.9372502664840887
1203,-3.8317181502124766
1204,-4.139421233494697
1205,-4.097195882862893
1206,-5.217351630402358
1207,-3.9645231297724486
1208,-4.359144478757976
1209,-4.195352899502223
1210,-4.241491037267636
1211,-5.209447368548276
1212,-4.442298316919901
1213,-4.301527462774523
1214,-4.203616825420578
1215,-3.9189293715570495
1216,-3.996878876603173
1217,-4.200185365517472
1218,-4.319823795234785
1219,-3.562894829348851
1220,-4.510736231812871
1221,-6.2723035235092475
1222,-3.6852261630347947
1223,-3.7381695388038336
1224,-4.183255022633213
1225,-3.898774830708671
1226,-4.000130856893032
1227,-3.9966411871945153
1228,-5.6671996606463475
1229,-4.671504800693624
1230,-5.228340964469068
