,Unlabeled_EA
0,3.9072237273411927
1,3.7146621817003718
2,4.326230753585214
3,4.631798422643342
4,4.991580473180186
5,4.91999447407062
6,4.989070658968728
7,4.288828562032212
8,4.791242576984792
9,3.993072293729883
10,5.40134454172652
11,5.317300033385528
12,4.402504683464753
13,4.26491738354185
14,4.484173591094939
15,4.289178433771103
16,4.514540857493487
17,4.364560676677564
18,5.479614894135744
19,4.211200005314238
20,4.400500040249695
21,4.347793140125527
22,3.7019408780945646
23,4.5755560193935505
24,4.229778865496332
25,4.433176185495459
26,3.743671268637361
27,4.137892896670578
28,4.534217464281033
29,4.697824743082167
30,3.4135776301227136
31,3.6705284449809206
32,3.612626545668631
33,4.550072483487852
34,4.590819698791747
35,5.492319262892611
36,4.708753210749758
37,4.528186394370973
38,4.228156210578521
39,4.062171784722658
40,4.466834816264736
41,4.9849358783791216
42,4.105005062321969
43,4.784537808166542
44,4.180518801063658
45,4.659959199721755
46,4.971524861194474
47,5.127390037806294
48,5.215830826076015
49,4.511723725006046
50,4.112504387794816
51,4.413294443637223
52,4.8857260365730255
53,4.552170865869236
54,4.202766317199536
55,3.9837852536349336
56,3.623311856601319
57,4.428717877305699
58,4.45702126002925
59,4.261309663441178
60,4.153717678547743
61,4.653397375346707
62,4.0134550791017976
63,4.168214239680964
64,4.4655697908627285
65,5.4418499703225605
66,5.4613465457340595
67,4.179096330440978
68,5.011796713086085
69,4.220258277285182
70,4.03059380573541
71,3.7602686192272428
72,5.547484580871357
73,5.338967057497168
74,5.358939619961215
75,4.959498446080347
76,4.215670455226451
77,5.396420394178654
78,5.580229037062682
79,5.194431787797235
80,5.7688949481624965
81,5.342856485034756
82,5.278131466399132
83,4.195229328889619
84,4.945146853740283
85,5.068688679311241
86,5.624005389627809
87,5.386168798124564
88,5.474726382414244
89,5.443710384499714
90,5.632458137747898
91,5.4378002046494265
92,5.376712545600381
93,5.5762671942174125
94,5.7695406074153865
95,5.4112183213788265
96,4.954301041458139
97,5.243749504790144
98,6.278932913656145
99,5.299276354352361
100,5.1572381555796225
101,5.4730615476980065
102,5.560753999873222
103,5.400876223681643
104,5.542387602613319
105,5.008622505668047
106,4.850278345479166
107,5.4827466512566625
108,5.285882070844707
109,6.14691145534107
110,5.3019411054862395
111,3.790058155389204
112,3.968222072905104
113,3.3606652199573714
114,5.084648149193436
115,5.2573326521745
116,5.541986777234848
117,4.281457456676941
118,4.309593107250751
119,6.017877878826315
120,4.397404687680808
121,4.310541624952392
122,4.543314875480146
123,5.899557771073183
124,5.154938969933138
125,5.018079126514318
126,4.978476217057238
127,5.829901941396274
128,5.54725502520024
129,5.2517376555745345
130,4.953748084832102
131,4.926279494834417
132,6.047265983237698
133,4.6771504526283785
134,5.07238706565722
135,5.213882068226102
136,5.407032732157211
137,6.169910809771628
138,6.6438202094089505
139,5.7607747894695756
140,5.817446577204393
141,5.580763062994721
142,5.733656402781805
143,6.561494781393944
144,6.758693596145033
145,5.330028789043429
146,5.485462380107514
147,6.123364187001207
148,5.275151851294914
149,5.3274394481767455
150,5.486944376367441
151,6.118923836290922
152,4.338852525220213
153,5.137225549213854
154,5.376240705821408
155,4.838290911911166
156,4.807528886666918
157,5.972402116414448
158,5.311007124607853
159,5.111107724707604
160,5.801161043963378
161,4.849160454033265
162,5.235187390789986
163,4.202803482628767
164,5.951891880001403
165,4.337277431678801
166,5.0290980763327
167,5.333633305244616
168,4.659505920207591
169,5.132949988400739
