Formula
BaBr2-BaCl2
BaBr2-PbSe2
CaCl2-HfTe2
HfTe2-I2Zr
HfTe2-Te2Zr
HfTe2-I2Ti
HfI2-HfTe2
Br2Ti-MoTe2
CrTe2-MoTe2
Br2Hf-MoTe2
MoTe2-Se2Ti
HfSe2-MoTe2
MoTe2-Te2W
Cl2Zr-MoTe2
Br2Ti-CrTe2
Br2Hf-Br2Ti
Br2Ti-Cl2Hf
Br2Ti-Br2Zr
Br2Ti-Se2Ti
Br2Ti-Te2W
Br2Ti-Cl2Zr
Br2Ca-PdSe2
Br2Ca-Cl2Sr
CaCl2-PdSe2
CaCl2-I2Zr
CaCl2-Te2Zr
I2Sr-PbS2
I2Pb-I2Sr
Cl2Ti-S2W
CrSe2-S2W
BaCl2-CaI2
BaCl2-I2Sn
BaCl2-Br2Sr
Br2Hf-CrTe2
Br2Zr-CrTe2
CrTe2-Se2Ti
CrTe2-Te2W
Cl2Zr-CrTe2
Br2Hf-Br2Zr
Br2Hf-Te2W
Br2Hf-Cl2Zr
I2Zr-Te2Zr
I2Ti-I2Zr
I2Zr-Te2Ti
HfI2-I2Zr
Cl2Ti-MoS2
CrSe2-MoS2
I2Ti-Te2Zr
HfI2-Te2Zr
Cl2Hf-Cl2Ti
Cl2Ti-Se2W
Cl2Ti-MoSe2
Cl2Ti-CrSe2
Cl2Ti-Cl2Zr
Br2Pb-CaI2
CaI2-I2Sn
Br2Sr-CaI2
CaI2-I2Pb
Br2Pb-Cl2Pb
Br2Pb-I2Sn
Br2Pb-Cl2Sr
BaI2-PbSe2
Cl2Hf-Se2W
Cl2Hf-MoSe2
Cl2Hf-Cl2Zr
F2Ti-H2Ti
H2Ti-O2W
MoSe2-Se2W
CrSe2-Se2W
Cl2Zr-Se2W
Br2Sr-I2Pb
Br2Sr-Cl2Sr
Br2Zr-Se2Ti
Br2Zr-HfSe2
HfSe2-I2Ti
I2Ti-Te2Ti
HfI2-I2Ti
Se2Ti-Te2W
Cl2Zr-Se2Ti
F2Ti-O2W
F2Ti-MoO2
HfI2-HfSe2
HfSe2-Te2W
Cl2Zr-MoSe2
HfI2-Te2Ti
MoO2-O2W
CdF2-GeS2
CdF2-Cl2Zn
CdF2-HfS2
CdF2-Cl2Ru
CdF2-NiSe2
CdF2-PtS2
CdF2-Se2Si
PdS2-S2Sn
GeS2-PdS2
HfS2-PdS2
Cl2Mg-PdS2
Cl2Ru-PdS2
F2Hg-PdS2
NiSe2-PdS2
PdS2-PtS2
PdS2-Se2Si
S2Sn-Se2Zr
PtSe2-S2Sn
PdSe2-S2Sn
Cl2Zn-S2Sn
Cl2Mg-S2Sn
HfSe2-S2Sn
Cl2Ru-S2Sn
F2Hg-S2Sn
PtS2-S2Sn
Br2Ca-CdI2
Br2Ca-HgI2
Br2Ca-I2Mg
CdCl2-Se2Zr
CdCl2-Se2Sn
CdCl2-Cl2Hg
Br2Zn-CdCl2
Br2Mg-CdCl2
CdCl2-PbS2
CdCl2-PtTe2
Br2Ru-CdCl2
CdCl2-HfSe2
CdCl2-PbSe2
Br2Hg-PtTe2
Br2Hg-I2Zn
Br2Hg-GeI2
Br2Hg-PbSe2
Se2Sn-Se2Zr
PtSe2-Se2Zr
Br2Zn-Se2Zr
Br2Mg-Se2Zr
PbS2-Se2Zr
Cl2Mg-Se2Zr
Br2Ru-Se2Zr
HfSe2-Se2Zr
S2Zr-Se2Zr
F2Hg-Se2Zr
GeS2-O2Pb
GeS2-NiS2
GeS2-NiSe2
GeS2-PtS2
GeS2-Se2Si
NiS2-O2Pb
O2Pb-Se2Si
PtSe2-Se2Sn
PdSe2-Se2Sn
PbS2-Se2Sn
PtTe2-Se2Sn
Br2Ru-Se2Sn
HfSe2-Se2Sn
PbSe2-Se2Sn
HfO2-O2Zr
HfO2-NiS2
HfO2-O2Sn
HfO2-S2Si
CaCl2-Cl2Hg
Cl2Hg-PbS2
Cl2Hg-PtTe2
Cl2Hg-I2Zn
Cl2Hg-PbSe2
PdSe2-PtSe2
HfS2-PtSe2
Br2Mg-PtSe2
PbS2-PtSe2
Br2Ru-PtSe2
HfSe2-PtSe2
PtSe2-S2Zr
Br2Zn-PdSe2
Br2Zn-HfS2
Br2Mg-Br2Zn
Br2Zn-PbS2
Br2Zn-Cl2Mg
Br2Ru-Br2Zn
Br2Zn-HfSe2
Br2Zn-S2Zr
Br2Zn-F2Hg
CaCl2-PtTe2
CaCl2-I2Zn
Br2Cd-CaCl2
GeO2-NiO2
