Formula
BaBr2-PbS2
BaCl2-I2Pb
Br2Pb-Br2Sr
Cl2Pb-Cl2Sr
Br2Sr-I2Sn
BaBr2-I2Sr
Br2Ca-Cl2Pb
BaCl2-I2Sr
MoS2-S2W
PbS2-PbSe2
CaI2-Cl2Sr
I2Pb-I2Sn
CrSe2-MoSe2
HfTe2-PdSe2
Br2Zr-MoTe2
Cl2Hf-CrTe2
Br2Hf-Se2Ti
PdSe2-Te2Zr
H2Ti-MoO2
Br2Zr-Te2W
HfSe2-Te2Ti
CdF2-O2Pb
Cl2Zn-PdS2
Br2Zn-S2Sn
Br2Ca-Br2Hg
Br2Ca-GeI2
Br2Hg-CaCl2
Br2Cd-Br2Hg
PdSe2-Se2Zr
Br2Zn-Se2Sn
Br2Mg-Se2Sn
HfO2-O2Pt
Br2Zn-PtSe2
Cl2Mg-PtSe2
CaCl2-GeI2
CdI2-I2Mg
Cl2Zn-PtS2
HfS2-PtS2
Cl2Sr-GeI2
CdF2-PdS2
PdS2-S2Zr
HfS2-S2Sn
S2Sn-S2Zr
CdCl2-PtSe2
Br2Hg-Cl2Hg
Br2Hg-I2Mg
HfS2-Se2Zr
O2Pb-O2Zr
Cl2Hg-Se2Sn
F2Zn-HfO2
Br2Mg-Cl2Hg
Br2Cd-Cl2Hg
CaCl2-I2Mg
CdI2-Cl2Pb
Cl2Zn-F2Hg
HfS2-S2Zr
Br2Ru-S2Sn
O2Pb-S2Si
F2Hg-PtSe2
PbSe2-PtTe2
Br2Ru-F2Hg
Cl2Ru-S2Zr
Cl2Ru-Se2Si
F2Hg-PtS2
Al2S2-Ga2S2
Al2Te2-Ga2Te2
Al2Se2-Te2Zr2
Al2Se2-Ga2S2
Ga2Se2-In2S2
Bi2O2-S2Tl2
Al2Te2-Se2Tl2
In2S2-S2Zn2
Cd2Cl2-S2Zn2
Br2Cu2-S2Zn2
S2Zn2-Se2Zn2
Cu2I2-S2Zr2
Ga2Te2-I2Zn2
Br2Cd2-In2Se2
Br2Cd2-Br2Cu2
Cd2I2-In2Te2
Al2S2-Cl2Pt2
In2S2-Se2Zn2
Cl2Pt2-Ga2S2
Al2Se2-S2Zn2
Ga2Te2-Se2Zn2
Cd2S2-Ga2Te2
Cd2Cl2-F2Si2
In2Se2-Se2Zn2
Al2Te2-Br2Cd2
Al2Se2-Cd2Cl2
Al2Se2-Br2Pt2
Al2Te2-I2Zn2
Br2Hg2-I2Zn2
Ag2Br2-Cd2I2
Ag2I2-Cd2I2
Ag2Br2-I2In2
Hg2I2-I2In2
Ag2Br2-Cd2S2
Ag2Cl2-In2Te2
Cd2Te2-Sb2Se2
Cd2S2-Cd2Se2
Cd2S2-Hg2I2
Ag2Cl2-Cd2Se2
