Bilayer Descriptor,mean,std,min,max
Mismatch,1.9460478597208737,1.169593813749194,0.019746142,3.999309037
avg_Etotal,-13.526564302707524,4.333972264021421,-26.5017708,-4.337227433000001
avg_hform,-0.792388155725728,0.4470332675679324,-2.8374968010000003,0.006623155
avg_evac,3.405025922658981,0.49384741963598006,1.546130228,4.813278232
avg_efermi,-1.6515885804720873,0.8120843022908023,-4.4659507355,0.8435733109999999
avg_gap,1.788054613871359,0.9967387215287001,0.075944654,4.641257784
avg_vbm,-2.545615887395631,1.1231112076715948,-5.754269491,0.5587603830000001
avg_cbm,-0.7575612735533981,0.7445314517943474,-3.5431002575,1.2033031765
avg_gap_dir,1.991078472932039,0.9700374494054804,0.0782550225,4.808550569
avg_gap_dir_nosoc,2.106177529833738,0.9856765492770407,0.0,5.009862045
avg_gap_nosoc,1.9025676179199031,1.0064935301225335,0.0,4.729466855
avg_workfunction,5.056614503163836,0.5747647674177295,3.243910798,7.1382466535
avg_vbm_hse,-3.007290298288681,1.280782172588079,-5.999360874,0.6231457469999999
avg_cbm_hse,-0.40524971093264556,0.718561589821439,-2.9838202455,1.554009622
avg_gap_dir_hse,2.8346076043998454,1.1483451225236387,0.080698612,6.040127806499999
avg_gap_hse,2.602040587335405,1.187410077282469,0.080698612,5.8208474735
avg_c_11,58.01982169759372,35.72658740495808,-2.5149675150000004,270.30558215
avg_c_12,19.65760255567616,12.279695923975986,3.001278616,66.320284095
avg_E_B,1.0973647693348199,0.33113516598657633,0.3478586545,2.225000532
avg_emass_vb_dir1,-10.813229349302816,82.04813873408342,-1662.837103863,-0.0857630075
avg_emass_vb_dir2,-1.5119700184392937,2.3579683972338867,-26.5805662485,6.677671864
avg_emass_cb_dir1,0.36948028952840606,0.5108148716100328,-2.8322304695,3.0712871455
avg_emass_cb_dir2,0.921093101413595,1.3394605338562071,-1.2525798935,12.6601392865
avg_alphax,254.7266691672588,814.6383214523613,1.1691249345,6359.6110755
avg_alphaz,0.46178381681398367,0.23680654847703417,0.212818182,4.77017121
avg_cell_area,13.090383622975727,2.7662416768033213,5.5198816315,21.13074958
avg_cbm_hybridization,1.329583444993932,0.31525311605629897,0.301495068,2.061669974
avg_cbm_score,0.4866118672512136,0.15236651405760931,0.2197889095,0.9293949395
avg_vbm_hybridization,1.130460956862864,0.27595972434954286,0.0461754545,1.815667734
avg_vbm_score,0.4750423976941747,0.13302877613915748,0.2627249335,0.9907237645
avg_cbm_s,0.29948336634951456,0.21488675963209355,0.0034795355,0.901373709
avg_cbm_p,0.3871910037548543,0.18170354143580572,0.0567668855,0.918497662
avg_cbm_d,0.3133256299526699,0.26479657015042135,0.0,0.9293949395
avg_cbm_sp,0.42017959394296117,0.2712706865521227,0.0,0.957328572
avg_cbm_sd,0.06761143871966017,0.050840811535183356,0.0,0.452543957
avg_cbm_pd,0.2604131588810679,0.19614035221278492,0.0,0.8080459775
avg_vbm_s,0.05498555765509708,0.0649106949558521,0.0,0.3281424575
avg_vbm_p,0.6975967463058252,0.2213624297669281,0.0552006915,1.0
avg_vbm_d,0.2474176945873786,0.2352707138054019,0.0,0.9421328205
avg_vbm_sp,0.15707933305509708,0.17569441826553323,0.0,0.7902516775
avg_vbm_sd,0.01580117316833251,0.024135148334411362,0.0,0.2168082754999999
avg_vbm_pd,0.29666163170631066,0.19854181335970067,0.0,0.941632613
avg_lattice_param,3.864606328762136,0.41497780383688854,2.52459994,4.939554195
avg_PymatgenData minimum X,1.777718446601942,0.2495636354240101,0.92,2.345
avg_PymatgenData maximum X,2.802524271844661,0.31737297881506904,2.1,3.71
avg_PymatgenData range X,1.0248058252427186,0.37460614991911817,0.11,2.2350000000000003
